KODE;NAMA;SATUAN
PK026;DUST/MIST FILTER;BH
PK025;FILTER HOLDER/RETAINER;BH
PK071;HANDUK;BH
PK046;HAIR CAP ABU ABU [JILBAB] (GUDANG);BH
PK057;HAIR CAP BIRU [JILBAB] (PRODUKSI NBL);BH
PK066;HAIR CAP COKLAT MUDA;BH
PK070;HAIR CAP COKLAT TUA;BH
PK050;HAIR CAP DONAT ABU ABU ;BH
PK049;HAIR CAP DONAT BIRU;BH
PK048;HAIR CAP DONAT PUTIH;BH
PK063;HAIR CAP HIJAU MELON [JILBAB];BH
PK058;HAIR CAP HIJAU MUDA [JILBAB] (PROD CEFA);BH
PK059;HAIR CAP HIJAU TUA [JILBAB] (PROD CEFA);BH
PK047;HAIR CAP PUTIH [JILBAB] (PROD NBL);BH
PK024;HALF MASK RESPIRATOR;BH
PK001;JAS LAB KERAH BIRU;BH
PK054;JAS LAB KERAH BIRU;BH
PK002;JAS LAB KERAH PUTIH;BH
PK068;JAS LAB PARASIT ABU;BH
PK018;JAS LAB PARASIT PUTIH;BH
PK019;KAIN CASTILLO B35 WARNA BIRU;MTR
PK038;KAIN FAMATEX ABU-ABU;YARD
PK036;KAIN FAMATEX BIRU MUDA 127;YARD
PK037;KAIN FAMATEX BIRU TUA ;YARD
PK035;KAIN FAMATEX PUTIH;YARD
PK030;KAIN NAGATA DRIILL MERAH TUA;BH
PK014;KAIN NAGATA DRILL BIRU B 073;BH
PK027;KAIN NAGATA DRILL COKLAT;MTR
PK022;KAIN NAGATA DRILL HIJAU;MTR
PK029;KAIN NAGATA DRILL PINK;BH
PK013;KAIN NAGATA DRILL PUTIH;BH
PK015;KAIN OSCAR HITAM AMERIKA;BH
PK016;KAIN PARASIT;BH
PK017;KAIN PREPET;BH
PK012;KAIN TETERON PUTIH;BH
PK011;KAIN TETRA;BH
AK039;KAOS KAKI;PSG
PK021;LAB JAS BIRU TANGAN PANJANG;BH
PK020;LAB JAS BIRU TANGAN PENDEK;BH
PK039;LABJAS ABU-ABU;BH
PK003;MASKER     ( 1DUS =   BH);BH
PK056;PAKAIAN KERJA TWO PIECES ABU (GUDANG);BH
PK052;PAKAIAN KERJA TWO PIECES BIRU (PRODUKSI);BH
PK053;PAKAIAN KERJA TWO PIECES HIJAU (KEBUN);STL
PK004;PAKAIAN KERJA WANITA KRAH BIRU;BH
PK032;PAKAIAN KERJA WANITA KRAH HIJAU;BH
PK031;PAKAIAN KERJA WANITA KRAH KUNING;BH
PK041;PAKAIAN KERJA WANITA KRAH PINK;BH
PK005;PAKAIAN KERJA WANITA KRAH PUTIH;BH
AK035;REFILL SHOES COVER DISPENSER;PACK
AK020;SANDAL JEPIT;PSG
AK021;SENDAL SLOP;PSG
AK028;SEPATU BOOT HIJAU NO. 25;PSG
AK001;SEPATU BOOT HITAM NO. 25;PSG
AK002;SEPATU BOOT HITAM NO. 26;PSG
AK029;SEPATU BOOT HITAM NO. 39;PSG
AK031;SEPATU BOOT HITAM NO. 40;PSG
AK030;SEPATU BOOT HITAM NO. 41;PSG
AK032;SEPATU BOOT HITAM NO. 42;PSG
AK019;SEPATU BOOT PUTIH NO. 25;PSG
AK017;SEPATU BOOT PUTIH NO. 26;PSG
AK018;SEPATU BOOT PUTIH NO. 27;PSG
AK024;SEPATU HITAM NO.  10 (42);PSG
AK003;SEPATU HITAM NO. 2/34;PSG
AK004;SEPATU HITAM NO. 3/35;PSG
AK036;SEPATU HITAM NO. 33;PSG
AK005;SEPATU HITAM NO. 4/36;PSG
AK033;SEPATU HITAM NO. 43;PSG
AK037;SEPATU HITAM NO. 44;PSG
AK006;SEPATU HITAM NO. 5/37;PSG
AK007;SEPATU HITAM NO. 6/38;PSG
AK008;SEPATU HITAM NO. 7/39;PSG
AK009;SEPATU HITAM NO. 8/40;PSG
AK026;SEPATU HITAM NO. 9 (41);PSG
AK016;SEPATU PDL;PSG
AK010;SEPATU PUTIH  NO. 3/35;PSG
AK011;SEPATU PUTIH  NO. 4/36;PSG
AK012;SEPATU PUTIH  NO. 5/37;PSG
AK013;SEPATU PUTIH  NO. 6/38;PSG
AK014;SEPATU PUTIH  NO. 7/39;PSG
AK015;SEPATU PUTIH  NO. 8/40;PSG
AK023;SEPATU PUTIH NO.  10 (42);PSG
AK022;SEPATU PUTIH NO.  2 (34);PSG
AK034;SEPATU PUTIH NO. 43;PSG
AK038;SEPATU PUTIH NO. 44;PSG
AK025;SEPATU PUTIH NO. 9 (41);PSG
PK055;SERAGAM BIRU TUA (TEKNIK);BH
PK044;SERAGAM MENSA VALUE DAY PRIA;BH
PK045;SERAGAM MENSA VALUE DAY WANITA;BH
AK027;SHOES COVER;PSG
PK040;TOPI ABU - ABU;BH
PK006;TOPI BIRU;BH
PK007;TOPI PUTIH;BH
PK064;TWO PIECES BIRU TUA;BH
PK067;TWO PIECES COKLAT MUDA;BH
PK065;TWO PIECES COKLAT TUA;BH
PK062;TWO PIECES HIJAU MELON;BH
PK060;TWO PIECES HIJAU TUA;BH
PK069;TWO PIECES MERAH TUA;BH
PK028;WEAR PACK BIRU MUDA TANGAN PJG;BH
PK008;WEAR PACK BIRU TUA;BH
PK023;WEAR PACK HIJAU;BH
PK061;WEAR PACK HIJAU MUDA;BH
PK009;WEAR PACK KRAH BIRU (LL);BH
PK010;WEAR PACK PUTIH (LL);BH
PK043;WEARPACK BERTOPI;BH
PK042;WEARPACK KRAH PINK;BH
PK051;WEARPAK ABU ABU;BH
PK034;WERK PACK KERAH HIJAU;BH
PK033;WERK PACK KERAH KUNING;BH
pk072;JAS DISPOSIBLE TEBAL;BH
PK073;JAS DISPOSIBLE BIASA;BH
