KODE;NAMA;SATUAN
A001;AMPLOP KABINET OTTO;DOS
A004;AMP CKLT SDG 28X20CM (1 PAK = 100);BH
A005;AMP CKLT BSR 39X27.5CM (1 PAK = 100);BH
A006;AMPLOP KECIL PUTIH POLOS;DUS
A007;ACCO PLASTIK (SHADATO);DUS
A008;AMPLOP PUTIH NO 90;DUS
A009;AMPLOP COKLAT BESAR POLOS;PAK
B001;BAK STEMPEL;BH
B002;BALLPOINT BTTP (FASTER);BH
B004;BATU BATT 1,5 VOLT ( ABC , AA) 1 DUS = 24 BUAH;BH
B005;BLANKO SRT KOP OTTO;RIM
B006;BUKU EXPEDISI;BK
B007;BUKU FOLIO (BESAR);BK
B008;BUKU KWITANSI;BK
B009;BUKU TULIS TIPIS;BK
B010;BUKU KUATRO;BK
B011;BALLPOINT BIC;BH
B012;BATU BATT AAA ALKALINE (ENERGIZER);BH
B013;BINDER KLIP JOYKO NO 107;DOS
B014;BINDER KLIP JOYKO NO 111;DOS
B015;BUKU FOLIO (200 LBR);BH
B016;BOX FILE PLASTIK;BH
B017;BUSINESS FILE SIKA UK. FOLIO KUNING;LSN
B018;BINDER KLIP NO 155;DOS
B019;BINDER KLIP NO 260;DOS
B020;BUKU KUATRO 200 LBR;BH
B021;BATU BATTERY GP A23 12V;BH
B022;BINDER COMPUTER BESAR JOYKO;BH
B023;BATTERY MAXELL LR44;BH
B024;BATTERY KOTAK 9 VOLT ;BH
B025;BATTERY CR 2032 3V ;BH
B026;BINDER KLIP NO 200;BH
B027;BATTERY CR 2025 ;BH
B028;BINDER KLIP NO 105;BH
B029;BATTERY REMOT 12V/27A ;BH
B030;BATTERY MAXELL CR2016;BH
B031;BATTERY LR 1130;BH
B032;BATTERY LR 1220;BH
C001;CUTER BESAR JOYKO;BH
C002;"CONT. FORM 1PLY PUTIH SIDU 9.5X11"" PRS";DUS
C003;"CONT. FORM 2PLY WARNA SIDU 9.5X11""";DUS
C004;CUTTER KECIL JOYKO ;BH
C005;CALCULATOR CITIZEN SLD-1012;BH
C006;CATRIDGE CANON CL-811 COLOUR ORIGINAL;BH
C007;CALCULATOR CITIZEN SDC-868 (12 DIGIT);BH
C008;"CONT. FORM 5PLY WARNA SIDU 9.5X11""";DUS
C009;CD - R PLUS GT PRO ;BH
C010;DVD - RW PLUS GT PRO;BH
C011;CASING MIKA PLASTIK U/ CD & DVD;BH
C012;"CONT. FORM 4PLY PUTIH SIDU 9.5X11""";DUS
C013;CLEAR HOLDER DATA PLUS (60 PCS);PAK
C014;"CONT. FORM 4PLY WARNA SIDU 9.5X11"" PRS";DUS
C015;"CONT. FORM 2PLY WARNA SIDU 7/8 X 11""";DUS
C016;"CONT. FORM 1PLY WARNA SIDU 7/8 X 11""";DUS
C017;DVD - R PLUS GT PRO;BH
C018;CLEAR HOLDER DATA PLUS (40 PCS);BH
C019;CARTRIDE RIBBON EPSON LQ2180;BH
C020;"CONT. FORM 1PLY PUTIH SIDU 9.5X11"" NON PRS";DUS
C021;"CONT. FORM 3PLY WARNA SIDU 9.5X11"" PRS";DUS
C022;"CONT. FORM 2PLY WARNA SIDU 9.5X11"" PRS";DUS
C023;CARTRIDE RIBBON EPSON LQ1170;BH.
D001;DISPENSER GUMED;BH
D002;DOUBLE TAPE BESAR;BH
D003;DOUBLE TAPE KECIL;BH
D004;DISPENSER SOLATIP BESAR (KENJOY);BH
D005;DOUBLE TAPE BUSA;BH
D006;DOUBLE TAPE KERTAS UK 1.5 CM;BH
D007;DOUBLE TAPE KERTAS UK 2 CM;BH
D008;DOUBLE TAPE BENING UK. 1.5 CM;ROLL
F001;FILLING FOLDER MAP GANTUNG;DUS
G001;GUNTING BESAR;BH
G002;GUNTING KECIL;BH
H001;HARD COVER JILID (KERTAS , @100LBR);PAK
H002;HARD COVER JILID (MIKA , @100LBR);PAK
I001;ISI BOLPOINT BIC ;BH.
I007;ISI CUTER BESAR (I TUBE = 5 BH);TUBE
 I008 ;ISI CUTER KECIL (1 TUBE = 5 BH) (1 PAK= 12TUBE);TUBE
 I009 ;ISI STAPLES(HECTER) BESAR (1 DUS = 20 BH);BH.
 I010 ;ISI STAPLES (HECTER)KECIL (1 DUS = 20 BH);BH.
I011;ISI BALLPOINT SNOWMAN V5;BH.
I012;ISI PENSIL PILOT 2B;BH.
I013;IMPRA BOARD ;BH.
I014;ISI STAPLES(HECTER) BESAR TYPE 1213 UK. 23/13;DOS
K001;KTG PLS VIT C KECIL 12X20CM ( 1 PAK 1/2 KG );KG
K002;KTG PLS PARASAL 20X25CM ( 1 PAK 1/2 KG );KG
K003;KTG PLASTIK CPB 23X35CM (1 PAK 1/2 KG);KG
K004;KERTAS DOUBLE FOLIO;LBR
K005;KERTAS HVS F4;RIM
K006;KERTAS MESIN HITUNG/REGISTER (TELL STRUCK 58MM) 1 PAK = 10 ROL;ROL
K007;KERTAS PERKAMEN ( 1 RIM =500 LBR );LBR
K008;KLIP BESAR NO.5;DOS
K009;KLIP KECIL NO.3;DOS
K011;KERTAS STENSIL/BURAM;RIM
K012;KERTAS HVS UK  A 4;RIM
K013;KERTAS HVS UK  A 3;LBR
K014;KERTAS HVS F4 (WARNA) ;RIM
K015;KERTAS THERMAL ROLL 57MM 1 PAK = 10 ROLL;ROL
K016;KERTAS TELL STRUCK 44MM 1 PAK = 10 ROLL;ROL
K017;KERTAS PHOTO GLOSSY GREAT STAR;PAK
K018;KERTAS THERMAL ROLL OTANI;ROL
K019;KARTON MANILA UK A4 WRNA BIRU MUDA;ROL
K020;KERTAS THERMAL ROLL UK 110*30;ROL
K021;KERTAS CONCORDE F4 WARNA (@20LBR);LBR
K022;KTG PLASTIK U/ QA (8X12X0.5);KG
K023;KTG PLASTIK U/ PRD (40X60X0.5);KG
K024;KTG PLASTIK KLIP (5X8);PAK
K025;KTG PLASTIK KLIP (8,7X13);PAK
K026;KERTAS SPECTRA A4 (WARNA);PAK
K027;KTG PLASTIK KLIP (7X10);PAK
K028;KERTAS STICKER FOTO;PAK
K029;KTG PLASTIK U/ KLINIK (12X20X0.3);PAK
K030;KERTAS PLIP CHART 60X90;RIM
K031;KTG PLASTIK KLIP (20X30);RIM
L001;LEM;BH.
L002;LAP KOTAK;BH.
L003;LABEL SIGN HERE ;PAK
L004;L-MAP TRANSPARANT UK F4;PAK
L005;L-MAP TRANSPARANT UK A4;PAK
L006;"LAKBAN KERTAS TWISTER 1"" X 2.5CM";ROL
L007;"LAKBAN KERTAS TWISTER 2"" X 5CM";ROL
L008;"LAKBAN HITAM GOLD TAPE 2""";ROL
L009;LEM UHU STICK;ROL
L010;"LAKBAN HITAM GOLD TAPE 1.5""";ROL
L011;"LAKBAN BENING 2""";ROL
M001;MAP ODNER BESAR;BH.
M002;MAP ODNER KECIL;BH.
M003;MAX STAPLER ( HECTER KECIL );BH
M004;MISTAR/PENGGARIS PLASTIK;BH
M005;MISTAR/PENGGARIS BESI;BH
M006;MAP ODNER BANTEX UK. F4 WARNA;BH
M007;MAX STAPLER ( HECTER BESAR);BH
N001;NAME TAG HOLDER WARNA MERAH;BH.
N002;NAME TAG HOLDER WARNA BIRU;BH.
N003;NAME TAG HOLDER WARNA KUNING;BH.
N004;TALI NAME TAG HOLDER WARNA MERAH;BH.
N005;TALI NAME TAG HOLDER WARNA BIRU;BH.
N006;TALI NAME TAG HOLDER WARNA KUNING;BH.
N007;TALI NAME TAG + NAME TAG HOLDER WARNA HIJAU (SET);BH.
P001;PENGHAPUS PENSIL;BH
P002;PENGHAPUS PULPEN;BH.
P003;PENSIL;BH.
P004;PITA MESIN TIK;BH.
P005;PITA PRINTER;BH.
P006;PP POCKET UK F4 (@20PC);SET
P007;POST IT WARNA (34.9*47,6) TYPE 653;PAK
P008;POST IT WARNA (1.5*5);PAK
P009;POST IT WARNA (7.5 X 7.5) TYPE 654;PAK
P010;PLASTIK STRECH FILM ( WRAPPING);ROL
P011;PARTISI ABJAD A-Z PLASTIK (BATEX UK A4);SET
P012;PLASTIK LAMINATING F4 (@100LBR);PAK
P013;PP POCKET UK A4 (@20PC);SET
P014;PLASTIK LAMINATING A3 (@100LBR);PAK
P015;PAPAN DADA PLASTIK FOLIO;BH
P016;PENGHAPUS WHITEBOARD;BH
R001;RIBBON CARTRIDGE ERC-05 PURPLE;BH
S010;SNEL MAP (PAKAI PENJEPIT);BH.
S011;SPIDOL BESAR PERMANEN;BH.
S014;SPIDOL KECIL ;BH
S017;SPIDOL WHITEBOARD  ;BH
S018;SPIDOL OHP PERMANEN SNOWMAN;BH
S020;STABILLO;BH
S021;STOP MAP (TIDAK PAKAI PENJEPIT);BH
S023;SIKAT BOTOL SENAR;BH
S024;SPAREPART MESIN PHOTOCOPY (KARET PENARIK KERTAS BSR);BH
S025;SPAREPART MESIN PHOTOCOPY (KARET PENARIK KERTAS KCL);BH
S026;SPAREPART MESIN PHOTOCOPY (CLEANING BLADE);BH
S027;SPAREPART MESIN PHOTOCOPY (GEAR 45TF57-0666);BH
S028;SPAREPART MESIN PHOTOCOPY (DOUBLE GEAR 22/75T+BEARING);BH
S029;"SELOTIP GOLDTAPE 0.5"" / 1.5CM (ROLL BESAR)";BH
S030;SPAREPART MESIN PHOTOCOPY (UPER CLAW - IR5000);BH
S031;SPAREPART MESIN PHOTOCOPY (LOWER FUSER ROLLER - IR5000);BH
S032;SPAREPART MESIN PHOTOCOPY (SUB THERMISTOR - IR5000);BH
S033;SPAREPART MESIN PHOTOCOPY (WEB EX CHINA - IR5000);BH
S034;SPRING FILE PLASTIK;BH
S035;SPAREPART MESIN PHOTOCOPY (MAIN THERMISTOR PEMANAS - IR5000);BH
S036;SPAREPART MESIN PHOTOCOPY (WIRE 60 MICROMETER - IR5000);BH
S037;"SELOTIP GOLDTAPE 1"" / 2.5CM ";BH
S038;SPAREPART MESIN PHOTOCOPY (UPPER FUSER ROLLER - IR5000);BH
S039;SPAREPART MESIN PHOTOCOPY (SPONG ROLLER - IR5000);BH
S040;"SELOTIP GOLDTAPE 0.5"" / 1.5CM (ROLL KECIL)";BH
S041;STAPLES REMOVER SDI-1164;BH
S042;SAMPUL BUKU KERTAS;PAK
S043;STICKER LABEL FLOURESCENT;PAK
S044;STICKER LABEL PUTIH;PAK
T001;TINTA SPIDOL SNOWMAN;BTL
T003;TINTA STAMP PAD ( TINTA INK );BTL
T004;TONER / TINTA CANON U/ FOTOCOPY;KG
T005;TIPE-X PENTEL (BENTUK PENA);BH
T006;TINTA MANIS ( STEMPEL );BH
AT001;BATU BATERE BESAR;BH
AT002;KERTAS FAX 210 X 30;BH
AT003;DURACELL ALKALINE AA;BH
AT004;TAS TRANSPARAN;BH
AB001;KAIN PEL PUTIH;BH
AB002;LAP KOTAK;BH
AB003;SAPU INJUK;BH
AB004;SAPU LIDI;BH
AB005;SIKAT INJUK;BH
AB006;SLABER MAJUN;SET
AB007;KAIN PEL SLABER;BH
AB008;TANGKAI SLABER;BH
AB009;SIKAT BORSOL;BH
AB010;SIKAT SAPU PLASTIK;BH
AB011;SOSODOK SAMPAH / PENGKI;BH
AB012;SIKAT IJUK PLASTIK GAGANG PANJANG;BH
AB013;EMBER;BH
AB014;KEMOCENG;BH
AB015;LAP PEL DORONG/LOBBY DUSTER;BH
AB016;ALAT PEMBERSIH KACA/WHIPER;BH
AB017;SLABER KARET;BH
AB018;KARET MAMPET WC;BH
AB019;GAYUNG;BH
AB020;KAPAS;KG
AB021;SARUNG TANGAN YOUNG-YOUNG;PSG
AB022;SARUNG TANGAN KARET TIPIS (1BOX=50BH);PSG
AB023;SARUNG TANGAN NYLON/PUTIH;PSG
AB024;SIKAT BOTOL BESAR;BH
AB025;SIKAT BOTOL KECIL;BH
AB026;SIKAT BOTOL SEDANG;BH
AB027;SIKAT GIGI;BH
AB028;SIKAT KUNINGAN;BH
AB029;SIKAT PLASTIK;BH
AB030;TEMPAT SAMPAH 20 LITER;BH
AB031;TEMPAT SAMPAH 50 LITER;BH
AB032;ALAT PEMBERSIH LABA-LABA;BH
AB033;GAGANG PEMBERSIH KACA;BH
AB034;KANEBO;BH
AB035;LAP PEL DORONG MAGIC MOP;BH
AB036;REFILL MAGIC MOP;BH
AB037;BOTOL SPRAYER PEMBERSIH KACA (500ML);BH
AB038;SAPU PLASTIK;BH
AB039;SPONS PENCUCI PIRING HIJAU;BH
AB040;SPONS PENCUCI PIRING HIJAU KUNING;BH
AB041;SPONS PENCUCI PIRING KUNING;BH
AB042;LAP BIRU;BH
